zip_code,etl_timestamp,POS,NEG
19106,2020-08-13 17:20:02,108,2414
19125,2020-08-13 17:20:02,324,4607
19111,2020-08-13 17:20:02,1387,7319
19141,2020-08-13 17:20:02,704,4322
19144,2020-08-13 17:20:02,984,7055
19109,2020-08-13 17:20:02,NA,9
19138,2020-08-13 17:20:02,715,4457
19146,2020-08-13 17:20:02,691,8828
19127,2020-08-13 17:20:02,47,933
19114,2020-08-13 17:20:02,584,2849
19197,2020-08-13 17:20:02,NA,17
19130,2020-08-13 17:20:02,395,6380
19103,2020-08-13 17:20:02,271,4692
19108,2020-08-13 17:20:02,NA,11
19120,2020-08-13 17:20:02,1597,7686
19116,2020-08-13 17:20:02,757,3070
19134,2020-08-13 17:20:02,1042,7074
19143,2020-08-13 17:20:02,1437,11932
19101,2020-08-13 17:20:02,33,90
19104,2020-08-13 17:20:02,767,7458
19115,2020-08-13 17:20:02,919,3823
19110,2020-08-13 17:20:02,NA,13
19126,2020-08-13 17:20:02,594,2731
19129,2020-08-13 17:20:02,142,2084
19119,2020-08-13 17:20:02,576,5196
19121,2020-08-13 17:20:02,623,5289
19140,2020-08-13 17:20:02,1299,7866
19133,2020-08-13 17:20:02,630,3531
19152,2020-08-13 17:20:02,809,3827
19145,2020-08-13 17:20:02,881,8512
19150,2020-08-13 17:20:02,546,3675
19124,2020-08-13 17:20:02,1417,7021
19142,2020-08-13 17:20:02,773,3632
19131,2020-08-13 17:20:02,1132,7388
19122,2020-08-13 17:20:02,394,3624
19147,2020-08-13 17:20:02,469,7472
19148,2020-08-13 17:20:02,1041,8643
19123,2020-08-13 17:20:02,399,3664
19136,2020-08-13 17:20:02,1121,9169
19139,2020-08-13 17:20:02,1079,8101
19118,2020-08-13 17:20:02,186,1859
19155,2020-08-13 17:20:02,NA,6
19137,2020-08-13 17:20:02,95,956
19153,2020-08-13 17:20:02,264,1620
19161,2020-08-13 17:20:02,NA,6
19107,2020-08-13 17:20:02,274,3227
19102,2020-08-13 17:20:02,69,1149
19151,2020-08-13 17:20:02,771,4199
19149,2020-08-13 17:20:02,1075,4756
19128,2020-08-13 17:20:02,432,5128
19132,2020-08-13 17:20:02,790,5313
19154,2020-08-13 17:20:02,641,4051
19135,2020-08-13 17:20:02,610,3415
19160,2020-08-13 17:20:02,NA,6
19113,2020-08-13 17:20:02,NA,22
19105,2020-08-13 17:20:02,NA,41
