zip_code,etl_timestamp,POS,NEG
19106,2020-08-19 17:20:02,112,2629
19125,2020-08-19 17:20:02,331,5035
19111,2020-08-19 17:20:02,1416,7920
19141,2020-08-19 17:20:02,714,4591
19144,2020-08-19 17:20:02,995,7575
19109,2020-08-19 17:20:02,NA,10
19138,2020-08-19 17:20:02,726,4751
19146,2020-08-19 17:20:02,701,9494
19127,2020-08-19 17:20:02,48,1022
19114,2020-08-19 17:20:02,597,3095
19197,2020-08-19 17:20:02,NA,18
19130,2020-08-19 17:20:02,398,6902
19103,2020-08-19 17:20:02,272,5112
19108,2020-08-19 17:20:02,NA,12
19120,2020-08-19 17:20:02,1628,8209
19116,2020-08-19 17:20:02,779,3362
19134,2020-08-19 17:20:02,1069,7717
19143,2020-08-19 17:20:02,1462,12828
19101,2020-08-19 17:20:02,33,97
19104,2020-08-19 17:20:02,777,8042
19115,2020-08-19 17:20:02,940,4107
19110,2020-08-19 17:20:02,NA,14
19126,2020-08-19 17:20:02,601,2935
19129,2020-08-19 17:20:02,149,2277
19119,2020-08-19 17:20:02,584,5525
19140,2020-08-19 17:20:02,1339,8521
19133,2020-08-19 17:20:02,644,3837
19152,2020-08-19 17:20:02,842,4080
19145,2020-08-19 17:20:02,899,9112
19150,2020-08-19 17:20:02,549,3912
19124,2020-08-19 17:20:02,1469,7750
19142,2020-08-19 17:20:02,788,3940
19131,2020-08-19 17:20:02,1147,7932
19122,2020-08-19 17:20:02,399,3922
19147,2020-08-19 17:20:02,473,8099
19148,2020-08-19 17:20:02,1056,9278
19123,2020-08-19 17:20:02,407,3940
19136,2020-08-19 17:20:02,1146,9774
19139,2020-08-19 17:20:02,1087,8706
19118,2020-08-19 17:20:02,187,1999
19155,2020-08-19 17:20:02,NA,6
19137,2020-08-19 17:20:02,98,1031
19153,2020-08-19 17:20:02,269,1720
19161,2020-08-19 17:20:02,NA,6
19107,2020-08-19 17:20:02,281,3442
19102,2020-08-19 17:20:02,69,1260
19151,2020-08-19 17:20:02,788,4489
19149,2020-08-19 17:20:02,1116,5188
19128,2020-08-19 17:20:02,454,5533
19132,2020-08-19 17:20:02,804,5725
19154,2020-08-19 17:20:02,655,4341
19121,2020-08-19 17:20:02,634,5672
19135,2020-08-19 17:20:02,621,3723
19160,2020-08-19 17:20:02,NA,7
19113,2020-08-19 17:20:02,NA,24
19105,2020-08-19 17:20:02,NA,41
