zip_code,etl_timestamp,NEG,POS
19154,2021-01-23 18:20:02,24730,2854
19121,2021-01-23 18:20:02,25484,2297
19102,2021-01-23 18:20:02,6725,276
19134,2021-01-23 18:20:02,35293,3861
19172,2021-01-23 18:20:02,10,NA
19119,2021-01-23 18:20:02,24344,1505
19135,2021-01-23 18:20:02,17370,2387
19107,2021-01-23 18:20:02,14659,804
19116,2021-01-23 18:20:02,22062,3171
19126,2021-01-23 18:20:02,13220,1374
19160,2021-01-23 18:20:02,53,8
19113,2021-01-23 18:20:02,69,NA
19132,2021-01-23 18:20:02,21368,2046
19104,2021-01-23 18:20:02,56952,2341
19101,2021-01-23 18:20:02,328,71
19128,2021-01-23 18:20:02,31485,2029
19114,2021-01-23 18:20:02,17625,2401
19118,2021-01-23 18:20:02,8262,417
19149,2021-01-23 18:20:02,25178,3849
19103,2021-01-23 18:20:02,28819,987
19194,2021-01-23 18:20:02,18,NA
19179,2021-01-23 18:20:02,6,NA
19191,2021-01-23 18:20:02,27,NA
19151,2021-01-23 18:20:02,20784,2103
19105,2021-01-23 18:20:02,158,15
19183,2021-01-23 18:20:02,14,NA
19111,2021-01-23 18:20:02,40727,5144
19156,2021-01-23 18:20:02,6,NA
19122,2021-01-23 18:20:02,17728,1766
19153,2021-01-23 18:20:02,7169,825
19170,2021-01-23 18:20:02,10,NA
19137,2021-01-23 18:20:02,4512,569
19171,2021-01-23 18:20:02,11,NA
19106,2021-01-23 18:20:02,12824,658
19125,2021-01-23 18:20:02,23274,1448
19178,2021-01-23 18:20:02,10,NA
19141,2021-01-23 18:20:02,19266,2043
19144,2021-01-23 18:20:02,33202,2634
19109,2021-01-23 18:20:02,35,NA
19138,2021-01-23 18:20:02,20440,2052
19146,2021-01-23 18:20:02,40011,2082
19127,2021-01-23 18:20:02,6278,330
19193,2021-01-23 18:20:02,11,NA
19197,2021-01-23 18:20:02,11,NA
19192,2021-01-23 18:20:02,12,NA
19162,2021-01-23 18:20:02,6,NA
19130,2021-01-23 18:20:02,31514,1485
19108,2021-01-23 18:20:02,52,NA
19120,2021-01-23 18:20:02,37241,5077
19143,2021-01-23 18:20:02,52600,3703
19196,2021-01-23 18:20:02,9,NA
19115,2021-01-23 18:20:02,24523,3205
19110,2021-01-23 18:20:02,54,NA
19129,2021-01-23 18:20:02,10163,627
19181,2021-01-23 18:20:02,11,NA
19157,2021-01-23 18:20:02,6,NA
19140,2021-01-23 18:20:02,31203,3841
19195,2021-01-23 18:20:02,6,NA
19133,2021-01-23 18:20:02,13894,1944
19152,2021-01-23 18:20:02,30512,3175
19188,2021-01-23 18:20:02,7,NA
19145,2021-01-23 18:20:02,33928,3670
19150,2021-01-23 18:20:02,17674,1611
19124,2021-01-23 18:20:02,36466,5169
19190,2021-01-23 18:20:02,15,NA
19142,2021-01-23 18:20:02,15904,1979
19131,2021-01-23 18:20:02,43458,2908
19176,2021-01-23 18:20:02,18,NA
19147,2021-01-23 18:20:02,34039,1844
19148,2021-01-23 18:20:02,34422,3983
19123,2021-01-23 18:20:02,18285,1116
19136,2021-01-23 18:20:02,37633,3581
19139,2021-01-23 18:20:02,36015,2832
19155,2021-01-23 18:20:02,64,NA
19161,2021-01-23 18:20:02,23,NA
19182,2021-01-23 18:20:02,12,NA
