zip_code,etl_timestamp,NEG,POS
19116,2020-12-07 18:20:02,14341,1927
19126,2020-12-07 18:20:02,10320,1061
19160,2020-12-07 18:20:02,42,NA
19113,2020-12-07 18:20:02,59,NA
19154,2020-12-07 18:20:02,15827,1848
19132,2020-12-07 18:20:02,15963,1577
19104,2020-12-07 18:20:02,33767,1650
19101,2020-12-07 18:20:02,256,59
19128,2020-12-07 18:20:02,23038,1247
19114,2020-12-07 18:20:02,12554,1510
19118,2020-12-07 18:20:02,6381,314
19149,2020-12-07 18:20:02,18392,2674
19103,2020-12-07 18:20:02,19531,650
19194,2020-12-07 18:20:02,13,NA
19191,2020-12-07 18:20:02,24,NA
19151,2020-12-07 18:20:02,15549,1578
19105,2020-12-07 18:20:02,121,11
19183,2020-12-07 18:20:02,10,NA
19111,2020-12-07 18:20:02,29158,3556
19122,2020-12-07 18:20:02,13637,1416
19153,2020-12-07 18:20:02,5253,567
19170,2020-12-07 18:20:02,10,NA
19137,2020-12-07 18:20:02,3387,340
19171,2020-12-07 18:20:02,7,NA
19106,2020-12-07 18:20:02,9548,464
19125,2020-12-07 18:20:02,16896,990
19178,2020-12-07 18:20:02,8,NA
19141,2020-12-07 18:20:02,14487,1523
19144,2020-12-07 18:20:02,24327,1987
19109,2020-12-07 18:20:02,28,NA
19138,2020-12-07 18:20:02,15249,1600
19146,2020-12-07 18:20:02,29527,1509
19127,2020-12-07 18:20:02,4531,202
19193,2020-12-07 18:20:02,9,NA
19197,2020-12-07 18:20:02,8,NA
19192,2020-12-07 18:20:02,11,NA
19130,2020-12-07 18:20:02,22599,1062
19108,2020-12-07 18:20:02,46,NA
19120,2020-12-07 18:20:02,27244,3742
19134,2020-12-07 18:20:02,27510,2772
19143,2020-12-07 18:20:02,39172,2736
19115,2020-12-07 18:20:02,17373,2109
19110,2020-12-07 18:20:02,47,NA
19129,2020-12-07 18:20:02,7299,403
19181,2020-12-07 18:20:02,10,NA
19119,2020-12-07 18:20:02,17740,1083
19121,2020-12-07 18:20:02,19434,1786
19140,2020-12-07 18:20:02,23765,2880
19133,2020-12-07 18:20:02,10538,1500
19152,2020-12-07 18:20:02,21806,2086
19188,2020-12-07 18:20:02,7,NA
19145,2020-12-07 18:20:02,25814,2484
19150,2020-12-07 18:20:02,12843,1173
19124,2020-12-07 18:20:02,26789,3741
19190,2020-12-07 18:20:02,11,NA
19142,2020-12-07 18:20:02,11842,1477
19131,2020-12-07 18:20:02,30979,2244
19176,2020-12-07 18:20:02,10,NA
19147,2020-12-07 18:20:02,25523,1206
19148,2020-12-07 18:20:02,25617,2544
19123,2020-12-07 18:20:02,13138,814
19136,2020-12-07 18:20:02,25676,2363
19139,2020-12-07 18:20:02,27357,2188
19155,2020-12-07 18:20:02,46,NA
19161,2020-12-07 18:20:02,16,NA
19107,2020-12-07 18:20:02,10820,593
19102,2020-12-07 18:20:02,4869,195
19182,2020-12-07 18:20:02,7,NA
19135,2020-12-07 18:20:02,12841,1608
