zip_code,etl_timestamp,NEG,POS
19120,2020-12-29 18:20:02,32255,4519
19101,2020-12-29 18:20:02,286,67
19190,2020-12-29 18:20:02,13,NA
19136,2020-12-29 18:20:02,31048,3095
19111,2020-12-29 18:20:02,35191,4475
19194,2020-12-29 18:20:02,17,NA
19115,2020-12-29 18:20:02,21102,2753
19105,2020-12-29 18:20:02,143,14
19147,2020-12-29 18:20:02,29902,1554
19192,2020-12-29 18:20:02,11,NA
19141,2020-12-29 18:20:02,16885,1830
19132,2020-12-29 18:20:02,18806,1849
19130,2020-12-29 18:20:02,27251,1284
19143,2020-12-29 18:20:02,45814,3335
19196,2020-12-29 18:20:02,7,NA
19140,2020-12-29 18:20:02,27611,3419
19134,2020-12-29 18:20:02,31371,3352
19118,2020-12-29 18:20:02,7351,373
19104,2020-12-29 18:20:02,41733,1947
19107,2020-12-29 18:20:02,12711,705
19182,2020-12-29 18:20:02,9,NA
19154,2020-12-29 18:20:02,20206,2387
19148,2020-12-29 18:20:02,29640,3248
19146,2020-12-29 18:20:02,34887,1830
19183,2020-12-29 18:20:02,13,NA
19153,2020-12-29 18:20:02,6260,697
19150,2020-12-29 18:20:02,15296,1439
19144,2020-12-29 18:20:02,28753,2347
19110,2020-12-29 18:20:02,53,NA
19161,2020-12-29 18:20:02,21,NA
19125,2020-12-29 18:20:02,20289,1232
19151,2020-12-29 18:20:02,18286,1883
19137,2020-12-29 18:20:02,3939,489
19114,2020-12-29 18:20:02,15137,2042
19138,2020-12-29 18:20:02,17821,1879
19103,2020-12-29 18:20:02,24283,804
19155,2020-12-29 18:20:02,54,NA
19191,2020-12-29 18:20:02,26,NA
19122,2020-12-29 18:20:02,15798,1607
19171,2020-12-29 18:20:02,9,NA
19176,2020-12-29 18:20:02,16,NA
19181,2020-12-29 18:20:02,11,NA
19131,2020-12-29 18:20:02,37443,2624
19135,2020-12-29 18:20:02,15178,2051
19133,2020-12-29 18:20:02,12236,1753
19128,2020-12-29 18:20:02,27522,1714
19127,2020-12-29 18:20:02,5448,269
19157,2020-12-29 18:20:02,6,NA
19178,2020-12-29 18:20:02,9,NA
19123,2020-12-29 18:20:02,15824,965
19121,2020-12-29 18:20:02,22473,2052
19124,2020-12-29 18:20:02,31883,4565
19106,2020-12-29 18:20:02,11151,567
19193,2020-12-29 18:20:02,10,NA
19126,2020-12-29 18:20:02,11770,1249
19145,2020-12-29 18:20:02,29781,3090
19152,2020-12-29 18:20:02,25897,2629
19139,2020-12-29 18:20:02,31904,2528
19102,2020-12-29 18:20:02,5819,232
19119,2020-12-29 18:20:02,20737,1326
19129,2020-12-29 18:20:02,8789,545
19162,2020-12-29 18:20:02,6,NA
19116,2020-12-29 18:20:02,18351,2638
19149,2020-12-29 18:20:02,21775,3315
19109,2020-12-29 18:20:02,30,NA
19142,2020-12-29 18:20:02,13931,1749
19170,2020-12-29 18:20:02,10,NA
19172,2020-12-29 18:20:02,7,NA
19160,2020-12-29 18:20:02,47,7
19108,2020-12-29 18:20:02,50,NA
19188,2020-12-29 18:20:02,7,NA
19197,2020-12-29 18:20:02,9,NA
19113,2020-12-29 18:20:02,65,NA
