zip_code,etl_timestamp,NEG,POS
19171,2020-12-30 18:20:03,9,NA
19137,2020-12-30 18:20:03,3950,491
19176,2020-12-30 18:20:03,16,NA
19146,2020-12-30 18:20:03,35065,1840
19181,2020-12-30 18:20:03,11,NA
19131,2020-12-30 18:20:03,37713,2639
19135,2020-12-30 18:20:03,15236,2058
19133,2020-12-30 18:20:03,12279,1754
19128,2020-12-30 18:20:03,27620,1723
19127,2020-12-30 18:20:03,5463,269
19157,2020-12-30 18:20:03,6,NA
19178,2020-12-30 18:20:03,9,NA
19123,2020-12-30 18:20:03,15900,967
19122,2020-12-30 18:20:03,15844,1606
19121,2020-12-30 18:20:03,22567,2058
19140,2020-12-30 18:20:03,27713,3428
19124,2020-12-30 18:20:03,32020,4580
19130,2020-12-30 18:20:03,27511,1286
19103,2020-12-30 18:20:03,24419,812
19106,2020-12-30 18:20:03,11205,573
19193,2020-12-30 18:20:03,10,NA
19126,2020-12-30 18:20:03,11812,1255
19145,2020-12-30 18:20:03,29913,3109
19153,2020-12-30 18:20:03,6277,701
19154,2020-12-30 18:20:03,20262,2401
19152,2020-12-30 18:20:03,25977,2642
19125,2020-12-30 18:20:03,20387,1234
19139,2020-12-30 18:20:03,31996,2532
19102,2020-12-30 18:20:03,5857,234
19119,2020-12-30 18:20:03,20803,1332
19129,2020-12-30 18:20:03,8816,548
19162,2020-12-30 18:20:03,6,NA
19116,2020-12-30 18:20:03,18425,2653
19149,2020-12-30 18:20:03,21877,3324
19138,2020-12-30 18:20:03,17899,1881
19109,2020-12-30 18:20:03,30,NA
19142,2020-12-30 18:20:03,13977,1756
19114,2020-12-30 18:20:03,15192,2053
19170,2020-12-30 18:20:03,10,NA
19143,2020-12-30 18:20:03,45996,3346
19104,2020-12-30 18:20:03,41905,1978
19172,2020-12-30 18:20:03,7,NA
19160,2020-12-30 18:20:03,47,7
19108,2020-12-30 18:20:03,50,NA
19151,2020-12-30 18:20:03,18337,1893
19111,2020-12-30 18:20:03,35333,4489
19188,2020-12-30 18:20:03,7,NA
19144,2020-12-30 18:20:03,28858,2353
19197,2020-12-30 18:20:03,9,NA
19120,2020-12-30 18:20:03,32396,4527
19101,2020-12-30 18:20:03,287,67
19190,2020-12-30 18:20:03,13,NA
19136,2020-12-30 18:20:03,31122,3107
19194,2020-12-30 18:20:03,17,NA
19115,2020-12-30 18:20:03,21169,2764
19105,2020-12-30 18:20:03,141,13
19147,2020-12-30 18:20:03,30054,1558
19192,2020-12-30 18:20:03,11,NA
19141,2020-12-30 18:20:03,16947,1832
19132,2020-12-30 18:20:03,18892,1858
19196,2020-12-30 18:20:03,7,NA
19134,2020-12-30 18:20:03,31498,3362
19118,2020-12-30 18:20:03,7377,373
19107,2020-12-30 18:20:03,12792,706
19182,2020-12-30 18:20:03,10,NA
19148,2020-12-30 18:20:03,29807,3261
19183,2020-12-30 18:20:03,13,NA
19150,2020-12-30 18:20:03,15396,1443
19110,2020-12-30 18:20:03,53,NA
19161,2020-12-30 18:20:03,21,NA
19155,2020-12-30 18:20:03,54,NA
19191,2020-12-30 18:20:03,26,NA
19113,2020-12-30 18:20:03,65,NA
