zip_code,etl_timestamp,NEG,POS
19149,2021-05-13 17:20:02,40437,5518
19129,2021-05-13 17:20:02,15903,890
19128,2021-05-13 17:20:02,46600,2791
19140,2021-05-13 17:20:02,49607,5294
19182,2021-05-13 17:20:02,21,NA
19132,2021-05-13 17:20:02,33719,2853
19154,2021-05-13 17:20:02,44230,4122
19121,2021-05-13 17:20:02,38953,3197
19102,2021-05-13 17:20:02,10846,385
19134,2021-05-13 17:20:02,54677,5709
19172,2021-05-13 17:20:02,15,NA
19119,2021-05-13 17:20:02,36398,2045
19135,2021-05-13 17:20:02,28304,3561
19107,2021-05-13 17:20:02,21628,1103
19116,2021-05-13 17:20:02,36921,4443
19126,2021-05-13 17:20:02,19716,1808
19160,2021-05-13 17:20:02,89,10
19113,2021-05-13 17:20:02,92,NA
19100,2021-05-13 17:20:02,8,NA
19104,2021-05-13 17:20:02,221496,4355
19101,2021-05-13 17:20:02,499,94
19114,2021-05-13 17:20:02,28844,3455
19118,2021-05-13 17:20:02,12019,581
19103,2021-05-13 17:20:02,55117,1456
19194,2021-05-13 17:20:02,29,NA
19179,2021-05-13 17:20:02,9,NA
19191,2021-05-13 17:20:02,31,NA
19151,2021-05-13 17:20:02,32573,2848
19105,2021-05-13 17:20:02,291,18
19183,2021-05-13 17:20:02,14,NA
19111,2021-05-13 17:20:02,64767,7279
19156,2021-05-13 17:20:02,9,NA
19122,2021-05-13 17:20:02,25751,2444
19153,2021-05-13 17:20:02,11563,1162
19170,2021-05-13 17:20:02,13,NA
19137,2021-05-13 17:20:02,7077,847
19171,2021-05-13 17:20:02,25,NA
19106,2021-05-13 17:20:02,19447,889
19125,2021-05-13 17:20:02,34597,2002
19178,2021-05-13 17:20:02,11,NA
19141,2021-05-13 17:20:02,30292,2898
19144,2021-05-13 17:20:02,51492,3847
19109,2021-05-13 17:20:02,43,NA
19138,2021-05-13 17:20:02,31943,2937
19146,2021-05-13 17:20:02,63928,2902
19127,2021-05-13 17:20:02,9241,506
19193,2021-05-13 17:20:02,17,NA
19197,2021-05-13 17:20:02,13,NA
19192,2021-05-13 17:20:02,15,NA
19162,2021-05-13 17:20:02,9,NA
19184,2021-05-13 17:20:02,9,NA
19130,2021-05-13 17:20:02,47623,1967
19108,2021-05-13 17:20:02,96,NA
19120,2021-05-13 17:20:02,59503,7036
19143,2021-05-13 17:20:02,83133,5311
19196,2021-05-13 17:20:02,12,NA
19115,2021-05-13 17:20:02,39725,4428
19110,2021-05-13 17:20:02,73,NA
19181,2021-05-13 17:20:02,17,NA
19157,2021-05-13 17:20:02,6,NA
19195,2021-05-13 17:20:02,9,NA
19133,2021-05-13 17:20:02,22522,2818
19158,2021-05-13 17:20:02,8,NA
19152,2021-05-13 17:20:02,43279,4448
19188,2021-05-13 17:20:02,9,NA
19145,2021-05-13 17:20:02,51817,5180
19150,2021-05-13 17:20:02,26925,2229
19124,2021-05-13 17:20:02,57905,7345
19190,2021-05-13 17:20:02,20,NA
19142,2021-05-13 17:20:02,25904,2763
19131,2021-05-13 17:20:02,65147,4046
19176,2021-05-13 17:20:02,36,NA
19147,2021-05-13 17:20:02,50964,2600
19148,2021-05-13 17:20:02,56432,5635
19123,2021-05-13 17:20:02,26603,1483
19136,2021-05-13 17:20:02,63885,5239
19139,2021-05-13 17:20:02,55648,3987
19155,2021-05-13 17:20:02,80,NA
19161,2021-05-13 17:20:02,35,NA
