zip_code,etl_timestamp,POS,NEG
19145,2021-08-05 15:00:02,5403,61583
19151,2021-08-05 15:00:02,3016,39473
19149,2021-08-05 15:00:02,5760,49248
19129,2021-08-05 15:00:02,928,18443
19128,2021-08-05 15:00:02,2917,53541
19140,2021-08-05 15:00:02,5557,60656
19182,2021-08-05 15:00:02,NA,22
19132,2021-08-05 15:00:02,3052,41750
19154,2021-08-05 15:00:02,4237,51128
19121,2021-08-05 15:00:02,3394,46317
19102,2021-08-05 15:00:02,412,13015
19134,2021-08-05 15:00:02,5994,65437
19172,2021-08-05 15:00:02,NA,15
19119,2021-08-05 15:00:02,2147,43143
19135,2021-08-05 15:00:02,3734,34457
19107,2021-08-05 15:00:02,1188,24804
19116,2021-08-05 15:00:02,4614,45151
19126,2021-08-05 15:00:02,1923,23419
19160,2021-08-05 15:00:02,10,111
19113,2021-08-05 15:00:02,NA,99
19100,2021-08-05 15:00:02,NA,15
19104,2021-08-05 15:00:02,4525,243698
19101,2021-08-05 15:00:02,97,593
19114,2021-08-05 15:00:02,3553,34380
19118,2021-08-05 15:00:02,617,13623
19103,2021-08-05 15:00:02,1514,61636
19194,2021-08-05 15:00:02,NA,38
19179,2021-08-05 15:00:02,NA,9
19191,2021-08-05 15:00:02,NA,32
19105,2021-08-05 15:00:02,19,322
19183,2021-08-05 15:00:02,NA,16
19111,2021-08-05 15:00:02,7558,77799
19156,2021-08-05 15:00:02,NA,11
19122,2021-08-05 15:00:02,2549,29896
19153,2021-08-05 15:00:02,1211,14341
19170,2021-08-05 15:00:02,NA,16
19137,2021-08-05 15:00:02,877,8438
19171,2021-08-05 15:00:02,NA,25
19106,2021-08-05 15:00:02,958,22263
19125,2021-08-05 15:00:02,2116,40015
19178,2021-08-05 15:00:02,NA,13
19141,2021-08-05 15:00:02,3059,37149
19144,2021-08-05 15:00:02,4033,61679
19109,2021-08-05 15:00:02,NA,45
19138,2021-08-05 15:00:02,3093,39108
19146,2021-08-05 15:00:02,3100,75127
19127,2021-08-05 15:00:02,521,10315
19193,2021-08-05 15:00:02,NA,20
19197,2021-08-05 15:00:02,NA,13
19192,2021-08-05 15:00:02,NA,18
19162,2021-08-05 15:00:02,NA,10
19184,2021-08-05 15:00:02,NA,10
19130,2021-08-05 15:00:02,2071,55645
19108,2021-08-05 15:00:02,6,119
19120,2021-08-05 15:00:02,7375,72524
19143,2021-08-05 15:00:02,5637,99168
19196,2021-08-05 15:00:02,NA,14
19115,2021-08-05 15:00:02,4603,46535
19110,2021-08-05 15:00:02,NA,81
19181,2021-08-05 15:00:02,NA,19
19157,2021-08-05 15:00:02,NA,6
19195,2021-08-05 15:00:02,NA,11
19133,2021-08-05 15:00:02,2936,27475
19158,2021-08-05 15:00:02,NA,9
19152,2021-08-05 15:00:02,4655,49448
19188,2021-08-05 15:00:02,NA,10
19150,2021-08-05 15:00:02,2336,32576
19124,2021-08-05 15:00:02,7680,70787
19190,2021-08-05 15:00:02,NA,26
19142,2021-08-05 15:00:02,2893,31739
19131,2021-08-05 15:00:02,4228,76378
19176,2021-08-05 15:00:02,NA,51
19147,2021-08-05 15:00:02,2728,59648
19148,2021-08-05 15:00:02,5813,67944
19123,2021-08-05 15:00:02,1568,30115
19136,2021-08-05 15:00:02,5479,77590
19139,2021-08-05 15:00:02,4229,66537
19155,2021-08-05 15:00:02,NA,84
19161,2021-08-05 15:00:02,NA,35
