zip_code,etl_timestamp,POS,NEG
19106,2020-08-15 17:20:01,111,2513
19125,2020-08-15 17:20:01,330,4801
19111,2020-08-15 17:20:01,1399,7568
19141,2020-08-15 17:20:01,707,4422
19144,2020-08-15 17:20:01,991,7284
19109,2020-08-15 17:20:01,NA,9
19138,2020-08-15 17:20:01,720,4590
19146,2020-08-15 17:20:01,698,9121
19127,2020-08-15 17:20:01,47,968
19114,2020-08-15 17:20:01,591,2985
19197,2020-08-15 17:20:01,NA,17
19130,2020-08-15 17:20:01,397,6597
19103,2020-08-15 17:20:01,272,4872
19108,2020-08-15 17:20:01,NA,11
19120,2020-08-15 17:20:01,1608,7923
19116,2020-08-15 17:20:01,765,3231
19134,2020-08-15 17:20:01,1052,7354
19143,2020-08-15 17:20:01,1446,12363
19101,2020-08-15 17:20:01,33,95
19104,2020-08-15 17:20:01,771,7673
19115,2020-08-15 17:20:01,925,3975
19110,2020-08-15 17:20:01,NA,13
19126,2020-08-15 17:20:01,600,2813
19129,2020-08-15 17:20:01,145,2175
19119,2020-08-15 17:20:01,579,5360
19121,2020-08-15 17:20:01,628,5470
19140,2020-08-15 17:20:01,1316,8118
19133,2020-08-15 17:20:01,632,3662
19152,2020-08-15 17:20:01,827,3941
19145,2020-08-15 17:20:01,889,8758
19150,2020-08-15 17:20:01,547,3803
19124,2020-08-15 17:20:01,1442,7412
19142,2020-08-15 17:20:01,777,3767
19131,2020-08-15 17:20:01,1140,7652
19122,2020-08-15 17:20:01,394,3764
19147,2020-08-15 17:20:01,468,7731
19148,2020-08-15 17:20:01,1047,8932
19123,2020-08-15 17:20:01,404,3791
19136,2020-08-15 17:20:01,1126,9421
19139,2020-08-15 17:20:01,1084,8356
19118,2020-08-15 17:20:01,186,1913
19155,2020-08-15 17:20:01,NA,6
19137,2020-08-15 17:20:01,97,990
19153,2020-08-15 17:20:01,267,1654
19161,2020-08-15 17:20:01,NA,6
19107,2020-08-15 17:20:01,274,3303
19102,2020-08-15 17:20:01,69,1198
19151,2020-08-15 17:20:01,775,4322
19149,2020-08-15 17:20:01,1095,4976
19128,2020-08-15 17:20:01,441,5292
19132,2020-08-15 17:20:01,796,5516
19154,2020-08-15 17:20:01,646,4209
19135,2020-08-15 17:20:01,615,3569
19160,2020-08-15 17:20:01,NA,6
19113,2020-08-15 17:20:01,NA,22
19105,2020-08-15 17:20:01,NA,41
