zip_code,etl_timestamp,NEG,POS
19140,2021-04-23 17:20:02,44895,5011
19127,2021-04-23 17:20:02,8668,488
19195,2021-04-23 17:20:02,9,NA
19133,2021-04-23 17:20:02,20391,2691
19158,2021-04-23 17:20:02,6,NA
19146,2021-04-23 17:20:02,59369,2795
19138,2021-04-23 17:20:02,28856,2759
19152,2021-04-23 17:20:02,40559,4297
19188,2021-04-23 17:20:02,9,NA
19115,2021-04-23 17:20:02,36044,4289
19144,2021-04-23 17:20:02,46989,3579
19141,2021-04-23 17:20:02,27424,2747
19145,2021-04-23 17:20:02,47970,4981
19150,2021-04-23 17:20:02,24588,2151
19125,2021-04-23 17:20:02,32332,1946
19124,2021-04-23 17:20:02,52562,6950
19190,2021-04-23 17:20:02,19,NA
19142,2021-04-23 17:20:02,23398,2618
19131,2021-04-23 17:20:02,60108,3805
19176,2021-04-23 17:20:02,33,NA
19122,2021-04-23 17:20:02,24068,2362
19130,2021-04-23 17:20:02,44428,1931
19147,2021-04-23 17:20:02,47652,2529
19148,2021-04-23 17:20:02,51797,5472
19123,2021-04-23 17:20:02,25023,1431
19136,2021-04-23 17:20:02,57836,4970
19139,2021-04-23 17:20:02,51156,3766
19105,2021-04-23 17:20:02,264,18
19118,2021-04-23 17:20:02,11213,562
19155,2021-04-23 17:20:02,77,NA
19137,2021-04-23 17:20:02,6449,812
19153,2021-04-23 17:20:02,10517,1097
19161,2021-04-23 17:20:02,32,NA
19107,2021-04-23 17:20:02,20484,1079
19102,2021-04-23 17:20:02,10157,373
19151,2021-04-23 17:20:02,29620,2697
19149,2021-04-23 17:20:02,36616,5239
19129,2021-04-23 17:20:02,14652,836
19128,2021-04-23 17:20:02,43328,2733
19182,2021-04-23 17:20:02,21,NA
19132,2021-04-23 17:20:02,30558,2666
19154,2021-04-23 17:20:02,40005,3964
19121,2021-04-23 17:20:02,35712,3044
19134,2021-04-23 17:20:02,50053,5420
19172,2021-04-23 17:20:02,15,NA
19119,2021-04-23 17:20:02,33744,1978
19135,2021-04-23 17:20:02,25562,3349
19116,2021-04-23 17:20:02,33773,4274
19126,2021-04-23 17:20:02,18272,1720
19160,2021-04-23 17:20:02,77,10
19113,2021-04-23 17:20:02,85,NA
19100,2021-04-23 17:20:02,8,NA
19104,2021-04-23 17:20:02,193768,4155
19101,2021-04-23 17:20:02,462,92
19114,2021-04-23 17:20:02,26291,3363
19103,2021-04-23 17:20:02,51202,1426
19194,2021-04-23 17:20:02,25,NA
19179,2021-04-23 17:20:02,8,NA
19191,2021-04-23 17:20:02,31,NA
19183,2021-04-23 17:20:02,14,NA
19111,2021-04-23 17:20:02,58905,6989
19156,2021-04-23 17:20:02,9,NA
19170,2021-04-23 17:20:02,13,NA
19171,2021-04-23 17:20:02,24,NA
19106,2021-04-23 17:20:02,18011,880
19178,2021-04-23 17:20:02,11,NA
19109,2021-04-23 17:20:02,40,NA
19193,2021-04-23 17:20:02,15,NA
19197,2021-04-23 17:20:02,13,NA
19192,2021-04-23 17:20:02,14,NA
19162,2021-04-23 17:20:02,8,NA
19184,2021-04-23 17:20:02,9,NA
19108,2021-04-23 17:20:02,88,NA
19120,2021-04-23 17:20:02,53881,6671
19143,2021-04-23 17:20:02,76365,5001
19196,2021-04-23 17:20:02,12,NA
19110,2021-04-23 17:20:02,69,NA
19181,2021-04-23 17:20:02,17,NA
19157,2021-04-23 17:20:02,7,NA
