zip_code,etl_timestamp,POS,NEG
19101,2020-09-01 17:20:02,38,109
19102,2020-09-01 17:20:02,71,1507
19103,2020-09-01 17:20:02,286,6030
19104,2020-09-01 17:20:02,796,9517
19105,2020-09-01 17:20:02,NA,47
19106,2020-09-01 17:20:02,116,3210
19107,2020-09-01 17:20:02,287,3933
19108,2020-09-01 17:20:02,NA,14
19109,2020-09-01 17:20:02,NA,10
19110,2020-09-01 17:20:02,NA,15
19111,2020-09-01 17:20:02,1494,9018
19113,2020-09-01 17:20:02,NA,28
19114,2020-09-01 17:20:02,617,3444
19115,2020-09-01 17:20:02,977,4563
19116,2020-09-01 17:20:02,821,3866
19118,2020-09-01 17:20:02,193,2263
19119,2020-09-01 17:20:02,595,6348
19120,2020-09-01 17:20:02,1706,9453
19121,2020-09-01 17:20:02,685,6586
19122,2020-09-01 17:20:02,422,4742
19123,2020-09-01 17:20:02,412,4526
19124,2020-09-01 17:20:02,1552,8844
19125,2020-09-01 17:20:02,346,5819
19126,2020-09-01 17:20:02,612,3264
19127,2020-09-01 17:20:02,52,1219
19128,2020-09-01 17:20:02,488,6369
19129,2020-09-01 17:20:02,154,2630
19130,2020-09-01 17:20:02,422,7903
19131,2020-09-01 17:20:02,1182,9088
19132,2020-09-01 17:20:02,817,6469
19133,2020-09-01 17:20:02,696,4477
19134,2020-09-01 17:20:02,1126,8843
19135,2020-09-01 17:20:02,665,4292
19136,2020-09-01 17:20:02,1184,10899
19137,2020-09-01 17:20:02,105,1163
19138,2020-09-01 17:20:02,752,5398
19139,2020-09-01 17:20:02,1106,9742
19140,2020-09-01 17:20:02,1428,9902
19141,2020-09-01 17:20:02,735,5222
19142,2020-09-01 17:20:02,810,4470
19143,2020-09-01 17:20:02,1499,14462
19144,2020-09-01 17:20:02,1013,8586
19145,2020-09-01 17:20:02,950,10298
19146,2020-09-01 17:20:02,716,10967
19147,2020-09-01 17:20:02,485,9344
19148,2020-09-01 17:20:02,1083,10465
19149,2020-09-01 17:20:02,1183,5865
19150,2020-09-01 17:20:02,562,4294
19151,2020-09-01 17:20:02,812,5050
19152,2020-09-01 17:20:02,883,4538
19153,2020-09-01 17:20:02,275,1918
19154,2020-09-01 17:20:02,687,4771
19155,2020-09-01 17:20:02,NA,7
19160,2020-09-01 17:20:02,NA,7
19161,2020-09-01 17:20:02,NA,6
19192,2020-09-01 17:20:02,NA,6
19197,2020-09-01 17:20:02,NA,16
