zip_code,etl_timestamp,NEG,POS
19140,2021-02-11 18:20:02,33553,4061
19127,2021-02-11 18:20:02,6739,359
19195,2021-02-11 18:20:02,6,NA
19133,2021-02-11 18:20:02,14951,2117
19146,2021-02-11 18:20:02,43810,2223
19138,2021-02-11 18:20:02,21837,2191
19152,2021-02-11 18:20:02,32152,3444
19188,2021-02-11 18:20:02,7,NA
19115,2021-02-11 18:20:02,26462,3412
19144,2021-02-11 18:20:02,35504,2793
19141,2021-02-11 18:20:02,20610,2170
19145,2021-02-11 18:20:02,36678,3928
19150,2021-02-11 18:20:02,18751,1713
19125,2021-02-11 18:20:02,25062,1552
19124,2021-02-11 18:20:02,38960,5492
19190,2021-02-11 18:20:02,16,NA
19142,2021-02-11 18:20:02,17120,2107
19131,2021-02-11 18:20:02,47065,3063
19176,2021-02-11 18:20:02,20,NA
19122,2021-02-11 18:20:02,18876,1933
19130,2021-02-11 18:20:02,33699,1574
19147,2021-02-11 18:20:02,36737,2008
19148,2021-02-11 18:20:02,37728,4252
19123,2021-02-11 18:20:02,19852,1191
19136,2021-02-11 18:20:02,40264,3869
19139,2021-02-11 18:20:02,38683,2982
19105,2021-02-11 18:20:02,177,15
19118,2021-02-11 18:20:02,8751,455
19155,2021-02-11 18:20:02,66,NA
19137,2021-02-11 18:20:02,4823,617
19153,2021-02-11 18:20:02,7731,886
19161,2021-02-11 18:20:02,24,NA
19107,2021-02-11 18:20:02,16031,890
19102,2021-02-11 18:20:02,7372,297
19151,2021-02-11 18:20:02,22253,2199
19149,2021-02-11 18:20:02,26803,4104
19129,2021-02-11 18:20:02,10984,658
19128,2021-02-11 18:20:02,33445,2176
19182,2021-02-11 18:20:02,14,NA
19132,2021-02-11 18:20:02,23014,2134
19154,2021-02-11 18:20:02,27145,3067
19121,2021-02-11 18:20:02,27256,2405
19134,2021-02-11 18:20:02,37960,4137
19172,2021-02-11 18:20:02,11,NA
19119,2021-02-11 18:20:02,26272,1605
19135,2021-02-11 18:20:02,18565,2551
19116,2021-02-11 18:20:02,23941,3459
19126,2021-02-11 18:20:02,14222,1446
19160,2021-02-11 18:20:02,56,9
19113,2021-02-11 18:20:02,70,NA
19104,2021-02-11 18:20:02,84799,2936
19101,2021-02-11 18:20:02,365,79
19114,2021-02-11 18:20:02,18999,2619
19103,2021-02-11 18:20:02,32972,1088
19194,2021-02-11 18:20:02,19,NA
19179,2021-02-11 18:20:02,6,NA
19191,2021-02-11 18:20:02,28,NA
19183,2021-02-11 18:20:02,14,NA
19111,2021-02-11 18:20:02,43564,5506
19156,2021-02-11 18:20:02,6,NA
19170,2021-02-11 18:20:02,10,NA
19171,2021-02-11 18:20:02,15,NA
19106,2021-02-11 18:20:02,13779,744
19178,2021-02-11 18:20:02,10,NA
19109,2021-02-11 18:20:02,37,NA
19193,2021-02-11 18:20:02,11,NA
19197,2021-02-11 18:20:02,11,NA
19192,2021-02-11 18:20:02,12,NA
19162,2021-02-11 18:20:02,7,NA
19108,2021-02-11 18:20:02,60,NA
19120,2021-02-11 18:20:02,39955,5426
19143,2021-02-11 18:20:02,56927,3902
19196,2021-02-11 18:20:02,10,NA
19110,2021-02-11 18:20:02,57,NA
19181,2021-02-11 18:20:02,11,NA
19157,2021-02-11 18:20:02,7,NA
