zip_code,etl_timestamp,POS,NEG
19106,2020-09-03 17:20:02,117,3292
19125,2020-09-03 17:20:02,349,5959
19111,2020-09-03 17:20:02,1512,9199
19141,2020-09-03 17:20:02,737,5325
19144,2020-09-03 17:20:02,1017,8746
19109,2020-09-03 17:20:02,NA,10
19138,2020-09-03 17:20:02,757,5479
19146,2020-09-03 17:20:02,721,11239
19127,2020-09-03 17:20:02,55,1252
19114,2020-09-03 17:20:02,619,3504
19197,2020-09-03 17:20:02,NA,16
19192,2020-09-03 17:20:02,NA,6
19130,2020-09-03 17:20:02,429,8106
19103,2020-09-03 17:20:02,286,6224
19108,2020-09-03 17:20:02,NA,15
19120,2020-09-03 17:20:02,1715,9618
19116,2020-09-03 17:20:02,834,3952
19134,2020-09-03 17:20:02,1148,9055
19143,2020-09-03 17:20:02,1503,14796
19101,2020-09-03 17:20:02,38,113
19104,2020-09-03 17:20:02,799,9800
19115,2020-09-03 17:20:02,983,4629
19110,2020-09-03 17:20:02,NA,15
19126,2020-09-03 17:20:02,619,3321
19129,2020-09-03 17:20:02,155,2676
19119,2020-09-03 17:20:02,597,6468
19121,2020-09-03 17:20:02,769,6880
19140,2020-09-03 17:20:02,1442,10122
19133,2020-09-03 17:20:02,701,4581
19152,2020-09-03 17:20:02,892,4620
19145,2020-09-03 17:20:02,958,10497
19150,2020-09-03 17:20:02,565,4355
19124,2020-09-03 17:20:02,1569,9102
19142,2020-09-03 17:20:02,816,4562
19131,2020-09-03 17:20:02,1191,9287
19122,2020-09-03 17:20:02,485,4989
19147,2020-09-03 17:20:02,488,9589
19148,2020-09-03 17:20:02,1086,10676
19123,2020-09-03 17:20:02,415,4646
19136,2020-09-03 17:20:02,1190,11149
19139,2020-09-03 17:20:02,1109,10026
19118,2020-09-03 17:20:02,196,2307
19155,2020-09-03 17:20:02,NA,7
19137,2020-09-03 17:20:02,107,1181
19153,2020-09-03 17:20:02,275,1953
19161,2020-09-03 17:20:02,NA,6
19107,2020-09-03 17:20:02,290,4048
19102,2020-09-03 17:20:02,71,1556
19151,2020-09-03 17:20:02,818,5151
19149,2020-09-03 17:20:02,1194,5982
19128,2020-09-03 17:20:02,493,6500
19132,2020-09-03 17:20:02,823,6616
19154,2020-09-03 17:20:02,690,4847
19135,2020-09-03 17:20:02,674,4380
19160,2020-09-03 17:20:02,NA,7
19113,2020-09-03 17:20:02,NA,29
19105,2020-09-03 17:20:02,NA,50
