zip_code,etl_timestamp,NEG,POS
19151,2020-07-22 17:20:02,3234,702
19122,2020-07-22 17:20:02,2614,343
19101,2020-07-22 17:20:02,68,30
19146,2020-07-22 17:20:02,6376,617
19153,2020-07-22 17:20:02,1222,238
19136,2020-07-22 17:20:02,7702,1058
19143,2020-07-22 17:20:02,8976,1287
19152,2020-07-22 17:20:02,3100,728
19125,2020-07-22 17:20:02,3149,273
19106,2020-07-22 17:20:02,1683,96
19132,2020-07-22 17:20:02,4031,726
19103,2020-07-22 17:20:02,3243,243
19144,2020-07-22 17:20:02,5315,905
19150,2020-07-22 17:20:02,2845,489
19148,2020-07-22 17:20:02,6475,942
19128,2020-07-22 17:20:02,3596,384
19129,2020-07-22 17:20:02,1471,129
19141,2020-07-22 17:20:02,3267,634
19133,2020-07-22 17:20:02,2595,570
19120,2020-07-22 17:20:02,5833,1454
19118,2020-07-22 17:20:02,1409,178
19134,2020-07-22 17:20:02,5131,920
19127,2020-07-22 17:20:02,594,39
19105,2020-07-22 17:20:02,30,NA
19115,2020-07-22 17:20:02,3139,859
19119,2020-07-22 17:20:02,4128,536
19102,2020-07-22 17:20:02,819,64
19104,2020-07-22 17:20:02,5624,709
19123,2020-07-22 17:20:02,2710,367
19107,2020-07-22 17:20:02,2493,253
19124,2020-07-22 17:20:02,5125,1270
19110,2020-07-22 17:20:02,10,NA
19140,2020-07-22 17:20:02,5867,1133
19145,2020-07-22 17:20:02,6363,775
19108,2020-07-22 17:20:02,10,NA
19139,2020-07-22 17:20:02,6247,1000
19147,2020-07-22 17:20:02,5225,422
19126,2020-07-22 17:20:02,2286,555
19131,2020-07-22 17:20:02,5607,1046
19109,2020-07-22 17:20:02,6,NA
19121,2020-07-22 17:20:02,3868,539
19116,2020-07-22 17:20:02,2333,706
19135,2020-07-22 17:20:02,2548,531
19142,2020-07-22 17:20:02,2836,714
19197,2020-07-22 17:20:02,8,NA
19114,2020-07-22 17:20:02,2250,531
19111,2020-07-22 17:20:02,5591,1243
19154,2020-07-22 17:20:02,2881,592
19130,2020-07-22 17:20:02,4383,361
19149,2020-07-22 17:20:02,3554,952
19137,2020-07-22 17:20:02,705,74
19138,2020-07-22 17:20:02,3452,644
19113,2020-07-22 17:20:02,18,NA
