zip_code,etl_timestamp,NEG,POS
19140,2021-08-09 15:00:02,60964,5585
19127,2021-08-09 15:00:02,10349,523
19195,2021-08-09 15:00:02,11,NA
19133,2021-08-09 15:00:02,27627,2951
19158,2021-08-09 15:00:02,9,NA
19146,2021-08-09 15:00:02,75656,3130
19138,2021-08-09 15:00:02,39308,3105
19152,2021-08-09 15:00:02,49625,4665
19188,2021-08-09 15:00:02,10,NA
19115,2021-08-09 15:00:02,46807,4613
19144,2021-08-09 15:00:02,61985,4052
19141,2021-08-09 15:00:02,37365,3069
19145,2021-08-09 15:00:02,61933,5422
19150,2021-08-09 15:00:02,32767,2346
19125,2021-08-09 15:00:02,40217,2129
19124,2021-08-09 15:00:02,71206,7721
19190,2021-08-09 15:00:02,26,NA
19108,2021-08-09 15:00:02,120,6
19142,2021-08-09 15:00:02,31899,2900
19131,2021-08-09 15:00:02,76646,4263
19176,2021-08-09 15:00:02,51,NA
19122,2021-08-09 15:00:02,30029,2554
19130,2021-08-09 15:00:02,56028,2093
19147,2021-08-09 15:00:02,60020,2753
19148,2021-08-09 15:00:02,68245,5833
19123,2021-08-09 15:00:02,30293,1578
19136,2021-08-09 15:00:02,77772,5491
19139,2021-08-09 15:00:02,66911,4256
19105,2021-08-09 15:00:02,325,19
19118,2021-08-09 15:00:02,13672,621
19155,2021-08-09 15:00:02,84,NA
19137,2021-08-09 15:00:02,8491,878
19153,2021-08-09 15:00:02,14414,1226
19161,2021-08-09 15:00:02,35,NA
19107,2021-08-09 15:00:02,24937,1198
19102,2021-08-09 15:00:02,13105,417
19151,2021-08-09 15:00:02,39663,3042
19149,2021-08-09 15:00:02,49471,5781
19129,2021-08-09 15:00:02,18511,927
19128,2021-08-09 15:00:02,53753,2936
19182,2021-08-09 15:00:02,22,NA
19132,2021-08-09 15:00:02,41958,3064
19154,2021-08-09 15:00:02,51341,4244
19121,2021-08-09 15:00:02,46551,3416
19134,2021-08-09 15:00:02,65780,6012
19172,2021-08-09 15:00:02,15,NA
19119,2021-08-09 15:00:02,43382,2153
19135,2021-08-09 15:00:02,34623,3745
19116,2021-08-09 15:00:02,45420,4620
19126,2021-08-09 15:00:02,23523,1928
19160,2021-08-09 15:00:02,112,10
19113,2021-08-09 15:00:02,99,NA
19100,2021-08-09 15:00:02,15,NA
19104,2021-08-09 15:00:02,244320,4539
19101,2021-08-09 15:00:02,596,97
19114,2021-08-09 15:00:02,34561,3563
19103,2021-08-09 15:00:02,61996,1527
19194,2021-08-09 15:00:02,38,NA
19179,2021-08-09 15:00:02,9,NA
19191,2021-08-09 15:00:02,33,NA
19183,2021-08-09 15:00:02,16,NA
19111,2021-08-09 15:00:02,78149,7583
19156,2021-08-09 15:00:02,11,NA
19170,2021-08-09 15:00:02,16,NA
19171,2021-08-09 15:00:02,25,NA
19106,2021-08-09 15:00:02,22402,967
19178,2021-08-09 15:00:02,13,NA
19109,2021-08-09 15:00:02,45,NA
19193,2021-08-09 15:00:02,21,NA
19197,2021-08-09 15:00:02,13,NA
19192,2021-08-09 15:00:02,18,NA
19162,2021-08-09 15:00:02,10,NA
19184,2021-08-09 15:00:02,10,NA
19120,2021-08-09 15:00:02,72879,7407
19143,2021-08-09 15:00:02,99739,5661
19196,2021-08-09 15:00:02,14,NA
19110,2021-08-09 15:00:02,82,NA
19181,2021-08-09 15:00:02,19,NA
19157,2021-08-09 15:00:02,6,NA
