zip_code,etl_timestamp,NEG,POS
19149,2021-03-24 17:52:24,32369,4557
19129,2021-03-24 17:52:24,13077,719
19128,2021-03-24 17:52:24,39833,2454
19140,2021-03-24 17:52:24,39638,4429
19182,2021-03-24 17:52:24,17,NA
19132,2021-03-24 17:52:24,27113,2296
19154,2021-03-24 17:52:24,34145,3451
19121,2021-03-24 17:52:24,31954,2619
19102,2021-03-24 17:52:24,9068,333
19134,2021-03-24 17:52:24,44310,4654
19172,2021-03-24 17:52:24,14,NA
19119,2021-03-24 17:52:24,30792,1734
19135,2021-03-24 17:52:24,22569,2876
19107,2021-03-24 17:52:24,18755,981
19116,2021-03-24 17:52:24,30199,3857
19126,2021-03-24 17:52:24,16645,1554
19160,2021-03-24 17:52:24,65,10
19113,2021-03-24 17:52:24,76,NA
19100,2021-03-24 17:52:24,7,NA
19104,2021-03-24 17:52:24,148029,3513
19101,2021-03-24 17:52:24,425,88
19114,2021-03-24 17:52:24,23338,2965
19118,2021-03-24 17:52:24,10418,514
19103,2021-03-24 17:52:24,43450,1288
19194,2021-03-24 17:52:24,24,NA
19179,2021-03-24 17:52:24,8,NA
19191,2021-03-24 17:52:24,30,NA
19151,2021-03-24 17:52:24,26400,2365
19105,2021-03-24 17:52:24,232,15
19183,2021-03-24 17:52:24,14,NA
19111,2021-03-24 17:52:24,52586,6154
19156,2021-03-24 17:52:24,7,NA
19122,2021-03-24 17:52:24,21853,2148
19153,2021-03-24 17:52:24,9375,967
19170,2021-03-24 17:52:24,11,NA
19137,2021-03-24 17:52:24,5740,709
19171,2021-03-24 17:52:24,23,NA
19106,2021-03-24 17:52:24,16283,823
19125,2021-03-24 17:52:24,29263,1724
19178,2021-03-24 17:52:24,10,NA
19141,2021-03-24 17:52:24,24389,2347
19144,2021-03-24 17:52:24,41906,3080
19109,2021-03-24 17:52:24,40,NA
19138,2021-03-24 17:52:24,25728,2366
19146,2021-03-24 17:52:24,52750,2480
19127,2021-03-24 17:52:24,8020,420
19193,2021-03-24 17:52:24,15,NA
19197,2021-03-24 17:52:24,12,NA
19192,2021-03-24 17:52:24,14,NA
19162,2021-03-24 17:52:24,8,NA
19184,2021-03-24 17:52:24,9,NA
19130,2021-03-24 17:52:24,39530,1767
19108,2021-03-24 17:52:24,74,NA
19120,2021-03-24 17:52:24,47998,5883
19143,2021-03-24 17:52:24,68189,4307
19196,2021-03-24 17:52:24,12,NA
19115,2021-03-24 17:52:24,32559,3862
19110,2021-03-24 17:52:24,64,NA
19181,2021-03-24 17:52:24,15,NA
19157,2021-03-24 17:52:24,6,NA
19195,2021-03-24 17:52:24,8,NA
19133,2021-03-24 17:52:24,17926,2329
19158,2021-03-24 17:52:24,6,NA
19152,2021-03-24 17:52:24,37716,3795
19188,2021-03-24 17:52:24,9,NA
19145,2021-03-24 17:52:24,43199,4448
19150,2021-03-24 17:52:24,22328,1880
19124,2021-03-24 17:52:24,46714,6070
19190,2021-03-24 17:52:24,18,NA
19142,2021-03-24 17:52:24,20868,2287
19131,2021-03-24 17:52:24,55206,3312
19176,2021-03-24 17:52:24,30,NA
19147,2021-03-24 17:52:24,43236,2293
19148,2021-03-24 17:52:24,45893,4889
19123,2021-03-24 17:52:24,23016,1338
19136,2021-03-24 17:52:24,50955,4366
19139,2021-03-24 17:52:24,45929,3268
19155,2021-03-24 17:52:24,75,NA
19161,2021-03-24 17:52:24,28,NA
