zip_code,etl_timestamp,POS,NEG
19131,2020-12-24 18:20:02,2570,36313
19135,2020-12-24 18:20:02,1993,14861
19133,2020-12-24 18:20:02,1710,11964
19128,2020-12-24 18:20:02,1644,26787
19127,2020-12-24 18:20:02,261,5264
19157,2020-12-24 18:20:02,NA,6
19178,2020-12-24 18:20:02,NA,9
19123,2020-12-24 18:20:02,942,15270
19122,2020-12-24 18:20:02,1583,15396
19121,2020-12-24 18:20:02,2016,21994
19140,2020-12-24 18:20:02,3339,27037
19124,2020-12-24 18:20:02,4449,31093
19130,2020-12-24 18:20:02,1253,26455
19103,2020-12-24 18:20:02,774,23546
19106,2020-12-24 18:20:02,557,10783
19193,2020-12-24 18:20:02,NA,10
19126,2020-12-24 18:20:02,1218,11585
19145,2020-12-24 18:20:02,2971,29079
19153,2020-12-24 18:20:02,674,6079
19154,2020-12-24 18:20:02,2310,19277
19152,2020-12-24 18:20:02,2539,25433
19125,2020-12-24 18:20:02,1197,19549
19139,2020-12-24 18:20:02,2489,31239
19102,2020-12-24 18:20:02,228,5631
19119,2020-12-24 18:20:02,1291,20200
19129,2020-12-24 18:20:02,526,8518
19162,2020-12-24 18:20:02,NA,6
19116,2020-12-24 18:20:02,2516,17617
19149,2020-12-24 18:20:02,3235,21272
19138,2020-12-24 18:20:02,1841,17469
19109,2020-12-24 18:20:02,NA,30
19142,2020-12-24 18:20:02,1702,13667
19114,2020-12-24 18:20:02,1979,14741
19170,2020-12-24 18:20:02,NA,10
19143,2020-12-24 18:20:02,3275,44884
19104,2020-12-24 18:20:02,1901,41016
19172,2020-12-24 18:20:02,NA,6
19160,2020-12-24 18:20:02,6,47
19108,2020-12-24 18:20:02,NA,50
19151,2020-12-24 18:20:02,1853,17878
19111,2020-12-24 18:20:02,4378,34328
19188,2020-12-24 18:20:02,NA,7
19144,2020-12-24 18:20:02,2297,28112
19197,2020-12-24 18:20:02,NA,9
19148,2020-12-24 18:20:02,3132,28923
19113,2020-12-24 18:20:02,NA,65
19120,2020-12-24 18:20:02,4402,31559
19101,2020-12-24 18:20:02,66,284
19190,2020-12-24 18:20:02,NA,13
19136,2020-12-24 18:20:02,3021,30207
19194,2020-12-24 18:20:02,NA,15
19115,2020-12-24 18:20:02,2665,20420
19105,2020-12-24 18:20:02,13,136
19147,2020-12-24 18:20:02,1498,29055
19192,2020-12-24 18:20:02,NA,11
19141,2020-12-24 18:20:02,1795,16545
19132,2020-12-24 18:20:02,1803,18408
19196,2020-12-24 18:20:02,NA,7
19134,2020-12-24 18:20:02,3257,30752
19118,2020-12-24 18:20:02,362,7183
19107,2020-12-24 18:20:02,682,12339
19182,2020-12-24 18:20:02,NA,9
19146,2020-12-24 18:20:02,1784,33932
19183,2020-12-24 18:20:02,NA,13
19150,2020-12-24 18:20:02,1398,14959
19110,2020-12-24 18:20:02,NA,52
19161,2020-12-24 18:20:02,NA,20
19137,2020-12-24 18:20:02,465,3854
19155,2020-12-24 18:20:02,NA,53
19191,2020-12-24 18:20:02,NA,25
19171,2020-12-24 18:20:02,NA,9
19176,2020-12-24 18:20:02,NA,13
19181,2020-12-24 18:20:02,NA,11
