zip_code,etl_timestamp,NEG,POS
19130,2020-08-03 17:20:02,5513,375
19119,2020-08-03 17:20:02,4980,563
19138,2020-08-03 17:20:02,4087,685
19154,2020-08-03 17:20:02,3572,617
19151,2020-08-03 17:20:02,3809,748
19122,2020-08-03 17:20:02,3169,372
19101,2020-08-03 17:20:02,80,31
19146,2020-08-03 17:20:02,7716,668
19153,2020-08-03 17:20:02,1457,258
19136,2020-08-03 17:20:02,8468,1096
19143,2020-08-03 17:20:02,10695,1377
19152,2020-08-03 17:20:02,3657,771
19125,2020-08-03 17:20:02,3943,308
19160,2020-08-03 17:20:02,6,NA
19106,2020-08-03 17:20:02,2064,103
19132,2020-08-03 17:20:02,4783,766
19103,2020-08-03 17:20:02,3920,261
19144,2020-08-03 17:20:02,6383,955
19150,2020-08-03 17:20:02,3324,535
19148,2020-08-03 17:20:02,7704,998
19128,2020-08-03 17:20:02,4380,416
19129,2020-08-03 17:20:02,1859,135
19141,2020-08-03 17:20:02,3914,676
19133,2020-08-03 17:20:02,3150,604
19120,2020-08-03 17:20:02,6941,1533
19135,2020-08-03 17:20:02,3050,572
19118,2020-08-03 17:20:02,1692,183
19134,2020-08-03 17:20:02,6240,986
19127,2020-08-03 17:20:02,792,44
19161,2020-08-03 17:20:02,6,NA
19105,2020-08-03 17:20:02,38,NA
19115,2020-08-03 17:20:02,3799,882
19102,2020-08-03 17:20:02,980,67
19104,2020-08-03 17:20:02,6710,743
19123,2020-08-03 17:20:02,3335,391
19107,2020-08-03 17:20:02,2896,271
19124,2020-08-03 17:20:02,6219,1354
19110,2020-08-03 17:20:02,13,NA
19140,2020-08-03 17:20:02,6950,1219
19145,2020-08-03 17:20:02,7567,847
19108,2020-08-03 17:20:02,10,NA
19139,2020-08-03 17:20:02,7388,1053
19147,2020-08-03 17:20:02,6440,449
19126,2020-08-03 17:20:02,2623,583
19131,2020-08-03 17:20:02,6679,1095
19109,2020-08-03 17:20:02,8,NA
19121,2020-08-03 17:20:02,4652,596
19116,2020-08-03 17:20:02,2693,727
19142,2020-08-03 17:20:02,3310,755
19197,2020-08-03 17:20:02,8,NA
19114,2020-08-03 17:20:02,2638,554
19111,2020-08-03 17:20:02,6606,1337
19149,2020-08-03 17:20:02,4249,1004
19137,2020-08-03 17:20:02,841,87
19113,2020-08-03 17:20:02,21,NA
