zip_code,etl_timestamp,NEG,POS
19118,2020-07-09 17:20:02,1105,174
19134,2020-07-09 17:20:02,4273,854
19106,2020-07-09 17:20:02,1352,84
19127,2020-07-09 17:20:02,466,36
19133,2020-07-09 17:20:02,2133,547
19101,2020-07-09 17:20:02,60,29
19105,2020-07-09 17:20:02,29,NA
19129,2020-07-09 17:20:02,1197,121
19115,2020-07-09 17:20:02,2625,838
19119,2020-07-09 17:20:02,3375,513
19148,2020-07-09 17:20:02,5268,878
19102,2020-07-09 17:20:02,652,60
19150,2020-07-09 17:20:02,2374,461
19104,2020-07-09 17:20:02,4632,666
19123,2020-07-09 17:20:02,2256,345
19152,2020-07-09 17:20:02,2559,702
19136,2020-07-09 17:20:02,7053,1012
19107,2020-07-09 17:20:02,2089,244
19124,2020-07-09 17:20:02,4292,1188
19110,2020-07-09 17:20:02,8,NA
19140,2020-07-09 17:20:02,4816,1080
19145,2020-07-09 17:20:02,5184,685
19108,2020-07-09 17:20:02,8,NA
19139,2020-07-09 17:20:02,5402,951
19147,2020-07-09 17:20:02,4152,382
19126,2020-07-09 17:20:02,1973,538
19131,2020-07-09 17:20:02,4570,994
19121,2020-07-09 17:20:02,3196,485
19116,2020-07-09 17:20:02,2019,687
19135,2020-07-09 17:20:02,2173,495
19142,2020-07-09 17:20:02,2422,694
19197,2020-07-09 17:20:02,8,NA
19114,2020-07-09 17:20:02,1919,506
19111,2020-07-09 17:20:02,4703,1172
19128,2020-07-09 17:20:02,2965,356
19120,2020-07-09 17:20:02,4897,1392
19141,2020-07-09 17:20:02,2731,595
19132,2020-07-09 17:20:02,3296,688
19153,2020-07-09 17:20:02,1035,220
19144,2020-07-09 17:20:02,4307,868
19151,2020-07-09 17:20:02,2694,661
19154,2020-07-09 17:20:02,2437,565
19125,2020-07-09 17:20:02,2544,251
19143,2020-07-09 17:20:02,7558,1207
19130,2020-07-09 17:20:02,3527,331
19146,2020-07-09 17:20:02,5213,576
19149,2020-07-09 17:20:02,2963,899
19122,2020-07-09 17:20:02,2072,295
19137,2020-07-09 17:20:02,592,64
19138,2020-07-09 17:20:02,2867,595
19113,2020-07-09 17:20:02,14,NA
19103,2020-07-09 17:20:02,2613,231
