zip_code,etl_timestamp,NEG,POS
19140,2020-10-20 17:20:02,14091,1704
19127,2020-10-20 17:20:02,2432,87
19133,2020-10-20 17:20:02,6460,873
19146,2020-10-20 17:20:02,17416,852
19138,2020-10-20 17:20:02,7730,876
19152,2020-10-20 17:20:02,7317,1143
19115,2020-10-20 17:20:02,7202,1169
19144,2020-10-20 17:20:02,12626,1169
19141,2020-10-20 17:20:02,7509,845
19145,2020-10-20 17:20:02,15722,1242
19150,2020-10-20 17:20:02,5989,645
19125,2020-10-20 17:20:02,9546,469
19124,2020-10-20 17:20:02,13255,1918
19142,2020-10-20 17:20:02,6521,915
19131,2020-10-20 17:20:02,14672,1357
19122,2020-10-20 17:20:02,8374,748
19130,2020-10-20 17:20:02,12748,566
19147,2020-10-20 17:20:02,15227,608
19148,2020-10-20 17:20:02,16049,1357
19123,2020-10-20 17:20:02,7557,470
19136,2020-10-20 17:20:02,14685,1350
19139,2020-10-20 17:20:02,14968,1230
19118,2020-10-20 17:20:02,3567,221
19155,2020-10-20 17:20:02,12,NA
19137,2020-10-20 17:20:02,1704,130
19153,2020-10-20 17:20:02,2828,312
19161,2020-10-20 17:20:02,7,NA
19107,2020-10-20 17:20:02,6162,350
19102,2020-10-20 17:20:02,2625,90
19151,2020-10-20 17:20:02,7794,915
19149,2020-10-20 17:20:02,8955,1459
19129,2020-10-20 17:20:02,4142,233
19128,2020-10-20 17:20:02,10716,604
19132,2020-10-20 17:20:02,9300,897
19154,2020-10-20 17:20:02,7013,830
19121,2020-10-20 17:20:02,11394,1065
19134,2020-10-20 17:20:02,14362,1428
19119,2020-10-20 17:20:02,9825,648
19135,2020-10-20 17:20:02,6400,826
19116,2020-10-20 17:20:02,6290,1001
19126,2020-10-20 17:20:02,4989,670
19160,2020-10-20 17:20:02,9,NA
19113,2020-10-20 17:20:02,40,NA
19104,2020-10-20 17:20:02,15981,981
19101,2020-10-20 17:20:02,163,40
19114,2020-10-20 17:20:02,5308,745
19103,2020-10-20 17:20:02,10363,359
19105,2020-10-20 17:20:02,71,NA
19111,2020-10-20 17:20:02,13482,1898
19106,2020-10-20 17:20:02,5518,149
19109,2020-10-20 17:20:02,13,NA
19197,2020-10-20 17:20:02,8,NA
19192,2020-10-20 17:20:02,8,NA
19108,2020-10-20 17:20:02,21,NA
19120,2020-10-20 17:20:02,14058,1987
19143,2020-10-20 17:20:02,21731,1647
19110,2020-10-20 17:20:02,25,NA
