zip_code,etl_timestamp,NEG,POS
19130,2020-07-31 17:20:02,5224,373
19119,2020-07-31 17:20:02,4752,559
19138,2020-07-31 17:20:02,3946,672
19154,2020-07-31 17:20:02,3459,615
19151,2020-07-31 17:20:02,3677,740
19122,2020-07-31 17:20:02,3060,368
19101,2020-07-31 17:20:02,80,31
19146,2020-07-31 17:20:02,7407,660
19153,2020-07-31 17:20:02,1399,257
19136,2020-07-31 17:20:02,8266,1088
19143,2020-07-31 17:20:02,10301,1365
19152,2020-07-31 17:20:02,3480,762
19125,2020-07-31 17:20:02,3759,304
19160,2020-07-31 17:20:02,6,NA
19106,2020-07-31 17:20:02,1969,100
19132,2020-07-31 17:20:02,4611,760
19103,2020-07-31 17:20:02,3753,258
19144,2020-07-31 17:20:02,6159,950
19150,2020-07-31 17:20:02,3208,532
19148,2020-07-31 17:20:02,7416,992
19128,2020-07-31 17:20:02,4231,411
19129,2020-07-31 17:20:02,1804,133
19141,2020-07-31 17:20:02,3757,669
19133,2020-07-31 17:20:02,3022,597
19118,2020-07-31 17:20:02,1634,183
19134,2020-07-31 17:20:02,6004,978
19127,2020-07-31 17:20:02,755,44
19161,2020-07-31 17:20:02,6,NA
19105,2020-07-31 17:20:02,36,NA
19115,2020-07-31 17:20:02,3655,878
19102,2020-07-31 17:20:02,950,67
19104,2020-07-31 17:20:02,6475,737
19123,2020-07-31 17:20:02,3178,390
19120,2020-07-31 17:20:02,6669,1519
19107,2020-07-31 17:20:02,2807,270
19135,2020-07-31 17:20:02,2928,564
19124,2020-07-31 17:20:02,5972,1340
19110,2020-07-31 17:20:02,13,NA
19140,2020-07-31 17:20:02,6687,1193
19145,2020-07-31 17:20:02,7302,832
19108,2020-07-31 17:20:02,10,NA
19139,2020-07-31 17:20:02,7151,1042
19147,2020-07-31 17:20:02,6156,445
19126,2020-07-31 17:20:02,2542,574
19131,2020-07-31 17:20:02,6447,1083
19109,2020-07-31 17:20:02,8,NA
19121,2020-07-31 17:20:02,4465,581
19116,2020-07-31 17:20:02,2614,723
19142,2020-07-31 17:20:02,3203,747
19197,2020-07-31 17:20:02,8,NA
19114,2020-07-31 17:20:02,2545,552
19111,2020-07-31 17:20:02,6405,1323
19149,2020-07-31 17:20:02,4078,995
19137,2020-07-31 17:20:02,806,85
19113,2020-07-31 17:20:02,21,NA
