zip_code,etl_timestamp,POS,NEG
19133,2021-03-15 17:20:02,2275,17299
19102,2021-03-15 17:20:02,320,8704
19145,2021-03-15 17:20:02,4266,41764
19151,2021-03-15 17:20:02,2326,25667
19149,2021-03-15 17:20:02,4412,31465
19129,2021-03-15 17:20:02,706,12736
19128,2021-03-15 17:20:02,2357,38868
19140,2021-03-15 17:20:02,4339,38343
19182,2021-03-15 17:20:02,NA,17
19132,2021-03-15 17:20:02,2253,26194
19154,2021-03-15 17:20:02,3320,32511
19121,2021-03-15 17:20:02,2538,30951
19134,2021-03-15 17:20:02,4499,42890
19172,2021-03-15 17:20:02,NA,14
19119,2021-03-15 17:20:02,1691,29910
19135,2021-03-15 17:20:02,2784,21876
19107,2021-03-15 17:20:02,967,18131
19116,2021-03-15 17:20:02,3750,29187
19126,2021-03-15 17:20:02,1520,16270
19160,2021-03-15 17:20:02,9,64
19113,2021-03-15 17:20:02,NA,75
19100,2021-03-15 17:20:02,NA,6
19104,2021-03-15 17:20:02,3353,136287
19101,2021-03-15 17:20:02,84,412
19114,2021-03-15 17:20:02,2858,22470
19118,2021-03-15 17:20:02,496,10166
19103,2021-03-15 17:20:02,1221,41476
19194,2021-03-15 17:20:02,NA,24
19179,2021-03-15 17:20:02,NA,7
19191,2021-03-15 17:20:02,NA,30
19105,2021-03-15 17:20:02,15,223
19183,2021-03-15 17:20:02,NA,14
19111,2021-03-15 17:20:02,5930,51101
19156,2021-03-15 17:20:02,NA,7
19122,2021-03-15 17:20:02,2044,21250
19153,2021-03-15 17:20:02,946,9074
19170,2021-03-15 17:20:02,NA,11
19137,2021-03-15 17:20:02,672,5563
19171,2021-03-15 17:20:02,NA,23
19106,2021-03-15 17:20:02,806,15822
19125,2021-03-15 17:20:02,1654,28393
19178,2021-03-15 17:20:02,NA,10
19141,2021-03-15 17:20:02,2301,23566
19144,2021-03-15 17:20:02,2999,40796
19109,2021-03-15 17:20:02,NA,40
19138,2021-03-15 17:20:02,2301,25033
19146,2021-03-15 17:20:02,2397,50926
19127,2021-03-15 17:20:02,404,7803
19193,2021-03-15 17:20:02,NA,15
19197,2021-03-15 17:20:02,NA,12
19192,2021-03-15 17:20:02,NA,14
19162,2021-03-15 17:20:02,NA,8
19184,2021-03-15 17:20:02,NA,9
19130,2021-03-15 17:20:02,1710,38225
19108,2021-03-15 17:20:02,NA,70
19120,2021-03-15 17:20:02,5744,46553
19143,2021-03-15 17:20:02,4169,66161
19196,2021-03-15 17:20:02,NA,11
19115,2021-03-15 17:20:02,3742,31809
19110,2021-03-15 17:20:02,NA,64
19181,2021-03-15 17:20:02,NA,15
19157,2021-03-15 17:20:02,NA,6
19195,2021-03-15 17:20:02,NA,8
19158,2021-03-15 17:20:02,NA,6
19152,2021-03-15 17:20:02,3672,37035
19188,2021-03-15 17:20:02,NA,9
19150,2021-03-15 17:20:02,1836,21834
19124,2021-03-15 17:20:02,5890,45302
19190,2021-03-15 17:20:02,NA,18
19142,2021-03-15 17:20:02,2229,20196
19131,2021-03-15 17:20:02,3228,53959
19176,2021-03-15 17:20:02,NA,27
19147,2021-03-15 17:20:02,2191,41907
19148,2021-03-15 17:20:02,4668,43986
19123,2021-03-15 17:20:02,1281,22396
19136,2021-03-15 17:20:02,4215,49164
19139,2021-03-15 17:20:02,3172,44570
19155,2021-03-15 17:20:02,NA,74
19161,2021-03-15 17:20:02,NA,29
