zip_code,etl_timestamp,NEG,POS
19149,2021-04-28 17:20:02,37956,5326
19129,2021-04-28 17:20:02,15109,860
19128,2021-04-28 17:20:02,44604,2772
19140,2021-04-28 17:20:02,46252,5097
19182,2021-04-28 17:20:02,21,NA
19132,2021-04-28 17:20:02,31406,2720
19154,2021-04-28 17:20:02,41189,4018
19121,2021-04-28 17:20:02,36687,3094
19102,2021-04-28 17:20:02,10390,377
19134,2021-04-28 17:20:02,51436,5511
19172,2021-04-28 17:20:02,15,NA
19119,2021-04-28 17:20:02,34600,1996
19135,2021-04-28 17:20:02,26538,3398
19107,2021-04-28 17:20:02,21000,1084
19116,2021-04-28 17:20:02,34876,4326
19126,2021-04-28 17:20:02,18745,1741
19160,2021-04-28 17:20:02,79,10
19113,2021-04-28 17:20:02,86,NA
19100,2021-04-28 17:20:02,8,NA
19104,2021-04-28 17:20:02,201514,4238
19101,2021-04-28 17:20:02,471,92
19114,2021-04-28 17:20:02,27133,3391
19118,2021-04-28 17:20:02,11491,565
19103,2021-04-28 17:20:02,52477,1446
19194,2021-04-28 17:20:02,28,NA
19179,2021-04-28 17:20:02,9,NA
19191,2021-04-28 17:20:02,31,NA
19151,2021-04-28 17:20:02,30654,2746
19105,2021-04-28 17:20:02,273,18
19183,2021-04-28 17:20:02,14,NA
19111,2021-04-28 17:20:02,61000,7068
19156,2021-04-28 17:20:02,7,NA
19122,2021-04-28 17:20:02,24596,2388
19153,2021-04-28 17:20:02,10885,1118
19170,2021-04-28 17:20:02,13,NA
19137,2021-04-28 17:20:02,6643,822
19171,2021-04-28 17:20:02,25,NA
19106,2021-04-28 17:20:02,18360,883
19125,2021-04-28 17:20:02,33050,1962
19178,2021-04-28 17:20:02,11,NA
19141,2021-04-28 17:20:02,28328,2793
19144,2021-04-28 17:20:02,48368,3656
19109,2021-04-28 17:20:02,43,NA
19138,2021-04-28 17:20:02,29874,2822
19146,2021-04-28 17:20:02,60708,2832
19127,2021-04-28 17:20:02,8941,495
19193,2021-04-28 17:20:02,16,NA
19197,2021-04-28 17:20:02,13,NA
19192,2021-04-28 17:20:02,15,NA
19162,2021-04-28 17:20:02,9,NA
19184,2021-04-28 17:20:02,9,NA
19130,2021-04-28 17:20:02,45440,1946
19108,2021-04-28 17:20:02,92,NA
19120,2021-04-28 17:20:02,55756,6789
19143,2021-04-28 17:20:02,78514,5105
19196,2021-04-28 17:20:02,12,NA
19115,2021-04-28 17:20:02,37455,4336
19110,2021-04-28 17:20:02,71,NA
19181,2021-04-28 17:20:02,17,NA
19157,2021-04-28 17:20:02,6,NA
19195,2021-04-28 17:20:02,9,NA
19133,2021-04-28 17:20:02,21022,2737
19158,2021-04-28 17:20:02,6,NA
19152,2021-04-28 17:20:02,41604,4348
19188,2021-04-28 17:20:02,9,NA
19145,2021-04-28 17:20:02,49132,5059
19150,2021-04-28 17:20:02,25426,2196
19124,2021-04-28 17:20:02,54363,7077
19190,2021-04-28 17:20:02,20,NA
19142,2021-04-28 17:20:02,24232,2660
19131,2021-04-28 17:20:02,61653,3903
19176,2021-04-28 17:20:02,34,NA
19147,2021-04-28 17:20:02,48614,2549
19148,2021-04-28 17:20:02,53087,5530
19123,2021-04-28 17:20:02,25513,1450
19136,2021-04-28 17:20:02,59571,5046
19139,2021-04-28 17:20:02,52592,3828
19155,2021-04-28 17:20:02,78,NA
19161,2021-04-28 17:20:02,33,NA
