zip_code,etl_timestamp,NEG,POS
19140,2020-09-10 17:20:02,10569,1466
19127,2020-09-10 17:20:02,1371,55
19133,2020-09-10 17:20:02,4783,715
19146,2020-09-10 17:20:02,11949,732
19138,2020-09-10 17:20:02,5747,768
19152,2020-09-10 17:20:02,4855,914
19115,2020-09-10 17:20:02,4858,996
19144,2020-09-10 17:20:02,9142,1029
19141,2020-09-10 17:20:02,5578,746
19145,2020-09-10 17:20:02,11066,972
19150,2020-09-10 17:20:02,4546,573
19125,2020-09-10 17:20:02,6370,368
19124,2020-09-10 17:20:02,9586,1591
19142,2020-09-10 17:20:02,4777,827
19131,2020-09-10 17:20:02,9818,1209
19122,2020-09-10 17:20:02,5443,494
19130,2020-09-10 17:20:02,8610,474
19147,2020-09-10 17:20:02,10196,495
19148,2020-09-10 17:20:02,11308,1099
19123,2020-09-10 17:20:02,4994,417
19136,2020-09-10 17:20:02,11557,1205
19139,2020-09-10 17:20:02,10741,1116
19118,2020-09-10 17:20:02,2444,201
19155,2020-09-10 17:20:02,8,NA
19137,2020-09-10 17:20:02,1231,112
19153,2020-09-10 17:20:02,2064,276
19161,2020-09-10 17:20:02,6,NA
19107,2020-09-10 17:20:02,4332,291
19102,2020-09-10 17:20:02,1686,72
19151,2020-09-10 17:20:02,5454,826
19149,2020-09-10 17:20:02,6345,1213
19129,2020-09-10 17:20:02,2831,158
19128,2020-09-10 17:20:02,6976,505
19132,2020-09-10 17:20:02,6921,829
19154,2020-09-10 17:20:02,5031,703
19121,2020-09-10 17:20:02,7434,828
19134,2020-09-10 17:20:02,9983,1165
19119,2020-09-10 17:20:02,6959,603
19135,2020-09-10 17:20:02,4627,688
19116,2020-09-10 17:20:02,4224,846
19126,2020-09-10 17:20:02,3469,621
19160,2020-09-10 17:20:02,7,NA
19113,2020-09-10 17:20:02,32,NA
19104,2020-09-10 17:20:02,10493,806
19101,2020-09-10 17:20:02,117,37
19114,2020-09-10 17:20:02,3702,634
19103,2020-09-10 17:20:02,6681,284
19105,2020-09-10 17:20:02,52,NA
19111,2020-09-10 17:20:02,9628,1542
19106,2020-09-10 17:20:02,3521,120
19109,2020-09-10 17:20:02,10,NA
19197,2020-09-10 17:20:02,16,NA
19192,2020-09-10 17:20:02,6,NA
19108,2020-09-10 17:20:02,16,NA
19120,2020-09-10 17:20:02,10149,1739
19143,2020-09-10 17:20:02,15614,1513
19110,2020-09-10 17:20:02,17,NA
