zip_code,etl_timestamp,NEG,POS
19149,2021-05-06 17:20:03,39234,5457
19129,2021-05-06 17:20:03,15542,883
19128,2021-05-06 17:20:03,45593,2772
19140,2021-05-06 17:20:03,48098,5239
19182,2021-05-06 17:20:03,21,NA
19132,2021-05-06 17:20:03,32663,2801
19154,2021-05-06 17:20:03,42785,4091
19121,2021-05-06 17:20:03,37885,3167
19102,2021-05-06 17:20:03,10631,383
19134,2021-05-06 17:20:03,53112,5636
19172,2021-05-06 17:20:03,15,NA
19119,2021-05-06 17:20:03,35531,2027
19135,2021-05-06 17:20:03,27500,3498
19107,2021-05-06 17:20:03,21249,1097
19116,2021-05-06 17:20:03,35946,4407
19126,2021-05-06 17:20:03,19289,1768
19160,2021-05-06 17:20:03,85,10
19113,2021-05-06 17:20:03,89,NA
19100,2021-05-06 17:20:03,8,NA
19104,2021-05-06 17:20:03,212176,4310
19101,2021-05-06 17:20:03,488,92
19114,2021-05-06 17:20:03,28080,3431
19118,2021-05-06 17:20:03,11792,577
19103,2021-05-06 17:20:03,53810,1452
19194,2021-05-06 17:20:03,29,NA
19179,2021-05-06 17:20:03,9,NA
19191,2021-05-06 17:20:03,31,NA
19151,2021-05-06 17:20:03,31616,2803
19105,2021-05-06 17:20:03,283,18
19183,2021-05-06 17:20:03,14,NA
19111,2021-05-06 17:20:03,63090,7199
19156,2021-05-06 17:20:03,9,NA
19122,2021-05-06 17:20:03,25183,2428
19153,2021-05-06 17:20:03,11256,1149
19170,2021-05-06 17:20:03,13,NA
19137,2021-05-06 17:20:03,6889,836
19171,2021-05-06 17:20:03,25,NA
19106,2021-05-06 17:20:03,18973,887
19125,2021-05-06 17:20:03,33927,1997
19178,2021-05-06 17:20:03,11,NA
19141,2021-05-06 17:20:03,29371,2876
19144,2021-05-06 17:20:03,50097,3763
19109,2021-05-06 17:20:03,43,NA
19138,2021-05-06 17:20:03,30946,2894
19146,2021-05-06 17:20:03,62476,2884
19127,2021-05-06 17:20:03,9093,504
19193,2021-05-06 17:20:03,16,NA
19197,2021-05-06 17:20:03,13,NA
19192,2021-05-06 17:20:03,15,NA
19162,2021-05-06 17:20:03,9,NA
19184,2021-05-06 17:20:03,9,NA
19130,2021-05-06 17:20:03,46696,1960
19108,2021-05-06 17:20:03,94,NA
19120,2021-05-06 17:20:03,57751,6937
19143,2021-05-06 17:20:03,80917,5255
19196,2021-05-06 17:20:03,12,NA
19115,2021-05-06 17:20:03,38716,4398
19110,2021-05-06 17:20:03,71,NA
19181,2021-05-06 17:20:03,17,NA
19157,2021-05-06 17:20:03,6,NA
19195,2021-05-06 17:20:03,9,NA
19133,2021-05-06 17:20:03,21826,2784
19158,2021-05-06 17:20:03,8,NA
19152,2021-05-06 17:20:03,42453,4412
19188,2021-05-06 17:20:03,9,NA
19145,2021-05-06 17:20:03,50522,5135
19150,2021-05-06 17:20:03,26220,2205
19124,2021-05-06 17:20:03,56170,7243
19190,2021-05-06 17:20:03,20,NA
19142,2021-05-06 17:20:03,25131,2733
19131,2021-05-06 17:20:03,63379,3993
19176,2021-05-06 17:20:03,34,NA
19147,2021-05-06 17:20:03,49815,2581
19148,2021-05-06 17:20:03,54857,5601
19123,2021-05-06 17:20:03,26081,1467
19136,2021-05-06 17:20:03,62071,5177
19139,2021-05-06 17:20:03,54186,3923
19155,2021-05-06 17:20:03,79,NA
19161,2021-05-06 17:20:03,34,NA
